ra       dec         new_ra      new_dec         radius 
0.08875       -2.61055555556       0.0893629       -2.6120930       0.0739761524779       23 
0.158333333333       20.0591666667       0.1592436       +20.0592073       0.0121581514135       53 
0.159583333333       28.385       0.158083       28.384556       0.031438186616       54 
0.15       33.6016666667       0.1556341       +33.6017597       0.0787271078805       55 
0.184583333333       28.4013888889       0.183333       28.401444       0.0196748409247       58 
0.195       28.4027777778       0.195667       28.402028       0.0201347287606       63 
0.08875       -2.61055555556       0.0893629       -2.6120930       0.0741619308107       23 
0.1       17.225       0.1170406       +17.2191615       0.0511752723789       38 
0.08875       -2.61055555556       0.0893629       -2.6120930       0.0741619308107       23 
