ra       dec         new_ra      new_dec         radius 
6.01083333333       16.4858333333       6.0108917       +16.4858831       0.0189248203607       1525 
6.11875       -50.6847222222       6.1182778       -50.6848099       0.00715351340098       1535 
6.125       -11.4847222222       6.1520724       -11.4968371       0.0128410410776       1538 
6.125       29.2680555556       6.1538699       +29.2873237       0.00675136498193       1544 
6.16166666667       33.2527777778       6.1612194       +33.2561399       0.0139576558015       1546 
6.17916666667       14.8222222222       6.1781570       +14.8248710       0.00412739855927       1550 
6.19416666667       29.5602777778       6.1935814       +29.5602990       0.00875259964613       1552 
6.2       45.1602777778       6.2335056       +45.1645082       0.00496298628358       1559 
6.225       6.66027777778       6.2201621       +6.6485268       0.00247096503905       1566 
6.245       43.6625       6.2450067       +43.6627683       0.00630981719185       1567 
6.265       31.3447222222       6.2639439       +31.3452259       0.0145693401237       1572 
6.37291666667       -14.5536111111       6.3738215       -14.5536728       0.0137234347466       1575 
6.275       42.0536111111       6.2967362       +42.0648619       0.00749904143416       1576 
6.3       6.48694444444       6.2925909       +6.4906574       0.00902213025265       1577 
6.30708333333       30.0361111111       6.3067295       +30.0375863       0.00846182968777       1578 
6.32083333333       12.885       6.3198934       +12.8837551       0.00574226706264       1583 
6.37083333333       20.2375       6.3696064       +20.2378909       0.0152726769694       1591 
6.37458333333       45.9216666667       6.3750078       +45.9215708       0.0165830298417       1592 
6.375       24.8216666667       6.3751482       +24.8110886       0.0105014215247       1594 
6.38       -33.0463888889       6.3805369       -33.0466864       0.0140625079726       1595 
6.44958333333       -2.28472222222       6.4489935       -2.2846907       0.0183983382638       1609 
6.45458333333       -62.33       6.4532917       -62.3300351       0.0118683005055       1610 
6.45       5.41333333333       6.4586545       +5.4152668       0.00398165532495       1611 
6.45       25.7233333333       6.4774       25.7233       0.00577245449894       1614 
6.49583333333       29.2113888889       6.4990657       +29.2120415       0.0226256709667       1619 
6.49541666667       14.3475       6.4956743       +14.3480186       0.00627065450216       1621 
6.5125       -32.8455555556       6.5120817       -32.8479018       0.00720047189906       1624 
6.5125       25.7188888889       6.5257       25.7189       0.015231356941       1625 
6.53       25.725       6.5303       25.725       0.0175642389179       1627 
6.53416666667       25.66       6.5402418       +25.6606258       0.00243026255662       1628 
6.5425       13.6536111111       6.5308292       +13.6515544       0.0045048629641       1631 
6.52875       16.4366666667       6.5288884       +16.4368838       0.00784976989063       1632 
6.55       21.8033333333       6.5610501       +21.8073405       0.00626004098485       1633 
6.5725       -4.4925       6.5721360       -4.4919784       0.0140366913677       1634 
6.6       6.2925       6.6100816       +6.2825545       0.00549700031778       1638 
6.63833333333       -41.8533333333       6.6392595       -41.8555460       0.00786188982636       1641 
6.695       -33.6766666667       6.6922929       -33.6765549       0.020383589543       1651 
6.675       11.56       6.6565326       +11.5689672       0.00192423876869       1652 
6.70375       31.7030555556       6.7030345       +31.7033055       0.0123969554882       1654 
6.71375       49.1169444444       6.7142709       +49.1169683       0.00419026610809       1655 
6.72791666667       -2.50138888889       6.7275855       -2.5008858       0.0163769679271       1656 
6.735       50.0308333333       6.7359357       +50.0303594       0.00937939266503       1658 
6.73833333333       -56.9783333333       6.7399869       -56.9780714       0.0121711963109       1659 
