ra       dec         new_ra      new_dec         radius 
1.68666666667       -6.63722222222       1.68666666667       -6.63722222222       0.00304124654989       510 
1.675       5.10388888889       1.6652852       +5.0935561       0.00297543592186       511 
1.7       8.62055555556       1.7062295       +8.6285120       0.00989073854414       515 
1.71       19.3211111111       1.7099871       +19.3219220       0.00447220273984       517 
1.74666666667       -6.95388888889       1.7381023       -6.9490625       0.00692376800478       538 
1.75       14.0680555556       1.7601137       +14.0755163       0.00208989679313       548 
1.81666666667       27.7088888889       1.816       27.708083       0.00913648543006       564 
1.82       8.30138888889       1.8198957       +8.3016346       0.00540718850156       565 
1.82166666667       27.6794444444       1.8214314       +27.6784089       0.00567795185493       567 
1.83083333333       32.6097222222       1.8315883       +32.6093917       0.00891275275564       569 
1.875       25.5886111111       1.8990078       +25.6044634       0.00295913762236       590 
1.95375       35.3625       1.9538246       +35.3623270       0.00515389943473       595 
1.96166666667       35.9663888889       1.9614588       +35.9661074       0.00385828259158       598 
2.00625       33.07       2.0067662       +33.0706732       0.00396834825155       608 
2.025       9.72       2.0281825       +9.7177460       0.00680421099193       613 
2.04208333333       27.0036111111       2.0430296       +27.0041884       0.00405499539986       617 
2.025       27.5202777778       2.0418048       +27.5284106       0.0037389252663       619 
2.14333333333       -10.9494444444       2.1428396       -10.9493285       0.00622056492795       635 
2.14916666667       -5.2175       2.1491513       -5.2166464       0.00519071555715       637 
2.15       -0.746388888889       2.1587702       -0.7365263       0.00392546248817       639 
2.17666666667       37.4505555556       2.1770937       +37.4479348       0.00782180344749       642 
2.18666666667       24.5427777778       2.2000013       +24.5442411       0.00218948768857       644 
2.18708333333       4.61277777778       2.1864059       +4.6126317       0.00785323463806       645 
2.19333333333       15.815       2.1923404       +15.8155328       0.0175718951988       647 
2.20041666667       33.4338888889       2.1989922       +33.4331693       0.0119412962658       650 
2.22875       23.8180555556       2.2272431       +23.8170132       0.00553344552353       652 
2.225       25.6180555556       2.2347542       +25.6160693       0.00190608888937       654 
2.26958333333       27.7302777778       2.2678504       +27.7294952       0.00977515768203       660 
2.25       21.6302777778       2.2599819       +21.6244690       0.00482118821084       661 
2.325       0.605       2.3314675       +0.5992658       0.00370318412183       670 
2.38708333333       33.3094444444       2.3861926       +33.3087572       0.0104989746977       679 
2.44833333333       27.8297222222       2.4510426       +27.8321755       0.00883919651402       690 
2.44833333333       26.79       2.4644320       +26.7910375       0.00233770727882       693 
2.45       4.68833333333       2.4624600       +4.6772815       0.00206589509435       696 
2.47333333333       25.9230555556       2.4725159       +25.9237602       0.0128750095021       698 
2.475       16.9452777778       2.5026332       +16.9401907       0.00303627312621       703 
2.50708333333       28.2094444444       2.5084444       +28.2102435       0.00541500881959       707 
2.51375       28.1502777778       2.5139104       +28.1497168       0.00458269359709       709 
2.52875       -6.32194444444       2.5284394       -6.3208638       0.00681841140859       714 
2.59333333333       30.8491666667       2.5716262       +30.8501027       0.00846736455538       726 
2.61       25.8325       2.6076523       +25.8322072       0.0122316414416       732 
